L,ALPHA,fold_loglosses_json,logloss_mean,logloss_std
25,0.25,"{""2019/2020"": 1.8275421281069184, ""2020/2021"": 1.8442855925776338, ""2021/2022"": 1.8489786567500053, ""2022/2023"": 1.8494906460141887, ""2023/2024"": 1.8470984543406395}",1.843479095557877,0.00913948903343199
25,0.35,"{""2019/2020"": 1.8293389697278708, ""2020/2021"": 1.845455540126816, ""2021/2022"": 1.849458838768959, ""2022/2023"": 1.8504848086158743, ""2023/2024"": 1.8494403180642764}",1.8448356950607594,0.008874418271902003
25,0.5,"{""2019/2020"": 1.8314940012984517, ""2020/2021"": 1.846559336963696, ""2021/2022"": 1.8487913530887579, ""2022/2023"": 1.8519065495841802, ""2023/2024"": 1.852377530879625}",1.846225754362942,0.008570792133510884
30,0.0,"{""2019/2020"": 1.828190684018836, ""2020/2021"": 1.8439738287970477, ""2021/2022"": 1.8464978247523822, ""2022/2023"": 1.8483800907886467, ""2023/2024"": 1.845933778777223}",1.842595241426827,0.008204149066924574
30,0.02,"{""2019/2020"": 1.8262953131928483, ""2020/2021"": 1.8428254891003624, ""2021/2022"": 1.8443127980531326, ""2022/2023"": 1.8482937196418483, ""2023/2024"": 1.8441024526750294}",1.8411659545326444,0.008561844278147036
30,0.05,"{""2019/2020"": 1.8245877262545989, ""2020/2021"": 1.8427202666558575, ""2021/2022"": 1.8461256175768024, ""2022/2023"": 1.8475969252923212, ""2023/2024"": 1.8425819297396075}",1.8407224931038375,0.009276729987329828
30,0.1,"{""2019/2020"": 1.825269972943985, ""2020/2021"": 1.8430078733596402, ""2021/2022"": 1.8453909015660515, ""2022/2023"": 1.8486091093403365, ""2023/2024"": 1.8426341094590348}",1.8409823933338096,0.009100997635944958
30,0.15,"{""2019/2020"": 1.824980999836466, ""2020/2021"": 1.8428556131986533, ""2021/2022"": 1.8462459634444637, ""2022/2023"": 1.8492108431645187, ""2023/2024"": 1.8441861527559376}",1.8414959144800078,0.009538234349737584
30,0.2,"{""2019/2020"": 1.8268521614365845, ""2020/2021"": 1.8431614555345657, ""2021/2022"": 1.8473973337238596, ""2022/2023"": 1.8489660026533532, ""2023/2024"": 1.8450155533269779}",1.842278501335068,0.00890460756146757
30,0.25,"{""2019/2020"": 1.8272440778604018, ""2020/2021"": 1.844446618261803, ""2021/2022"": 1.8487931012279033, ""2022/2023"": 1.8495250375175911, ""2023/2024"": 1.8469245048679364}",1.8433866679471271,0.00923488090419888
30,0.35,"{""2019/2020"": 1.8290516093133993, ""2020/2021"": 1.845236599822509, ""2021/2022"": 1.8492658953654393, ""2022/2023"": 1.850484703074122, ""2023/2024"": 1.8493897809596451}",1.8446857177070233,0.008964698630237002
30,0.5,"{""2019/2020"": 1.8316344799142987, ""2020/2021"": 1.846379867272373, ""2021/2022"": 1.8486489744497978, ""2022/2023"": 1.8520261150969264, ""2023/2024"": 1.8523844357453316}",1.8462147744957456,0.00852018155089061
35,0.0,"{""2019/2020"": 1.825073981006703, ""2020/2021"": 1.8427091550760581, ""2021/2022"": 1.8483289845669584, ""2022/2023"": 1.8481946925152355, ""2023/2024"": 1.847249043826528}",1.8423111713982965,0.009905700426871484
35,0.02,"{""2019/2020"": 1.8252192326503014, ""2020/2021"": 1.843797734640863, ""2021/2022"": 1.8467785738521894, ""2022/2023"": 1.848571610651132, ""2023/2024"": 1.8453773026269904}",1.8419488908842954,0.009516301140941071
35,0.05,"{""2019/2020"": 1.8229657464901918, ""2020/2021"": 1.8432467747536367, ""2021/2022"": 1.845937475639076, ""2022/2023"": 1.8478055675266907, ""2023/2024"": 1.8432519982191429}",1.8406415125257474,0.010067343755051123
35,0.1,"{""2019/2020"": 1.823409364172792, ""2020/2021"": 1.8425874861941034, ""2021/2022"": 1.8463799880764629, ""2022/2023"": 1.8488881561179906, ""2023/2024"": 1.842435291072609}",1.8407400571267918,0.01006031894180113
35,0.15,"{""2019/2020"": 1.8255593759299378, ""2020/2021"": 1.8423970614565364, ""2021/2022"": 1.8464204408787357, ""2022/2023"": 1.8485003739114159, ""2023/2024"": 1.8436307048758562}",1.8413015914104964,0.00911684240522272
35,0.2,"{""2019/2020"": 1.8265430233935276, ""2020/2021"": 1.843396041883165, ""2021/2022"": 1.8473358026387903, ""2022/2023"": 1.849120790759613, ""2023/2024"": 1.8446682947094308}",1.8422127906769052,0.009040698353700126
35,0.25,"{""2019/2020"": 1.8270429676714355, ""2020/2021"": 1.8444724511024422, ""2021/2022"": 1.848711591265702, ""2022/2023"": 1.8492712343088227, ""2023/2024"": 1.8464529102457696}",1.8431902309188346,0.009226148948497848
35,0.35,"{""2019/2020"": 1.8289014359713853, ""2020/2021"": 1.8453015662889733, ""2021/2022"": 1.8493057517395677, ""2022/2023"": 1.8505813792280967, ""2023/2024"": 1.849392581187907}",1.8446965428831859,0.009052352408687769
35,0.5,"{""2019/2020"": 1.831663787907494, ""2020/2021"": 1.8464337328347418, ""2021/2022"": 1.84861139513418, ""2022/2023"": 1.851927447561791, ""2023/2024"": 1.8523045976662653}",1.8461881922208945,0.00847407798305078
40,0.0,"{""2019/2020"": 1.8250451450072995, ""2020/2021"": 1.8436550862599552, ""2021/2022"": 1.8462581764138095, ""2022/2023"": 1.8486177333405927, ""2023/2024"": 1.8486772135455485}",1.842450670913441,0.009946136670354159
40,0.02,"{""2019/2020"": 1.8256381339382053, ""2020/2021"": 1.842919471775402, ""2021/2022"": 1.8456429257478524, ""2022/2023"": 1.8487586684741972, ""2023/2024"": 1.8464701148785645}",1.8418858629628443,0.009319648432608043
40,0.05,"{""2019/2020"": 1.8225151590100386, ""2020/2021"": 1.8423713022905046, ""2021/2022"": 1.845451955691857, ""2022/2023"": 1.8480621702427775, ""2023/2024"": 1.8433177530366163}",1.8403436680543588,0.010203946484580475
