start,block,params_json,fold_loglosses_json,logloss_mean,logloss_std
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 800, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.9040658921995244, ""2020/2021"": 1.8897389729491816, ""2021/2022"": 1.8894188643149878, ""2022/2023"": 1.8818508165124765, ""2023/2024"": 1.8738618834165703}",1.887787285878548,0.011187299234306109
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 1000, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8316398924606108, ""2020/2021"": 1.8435053526787015, ""2021/2022"": 1.84568962015681, ""2022/2023"": 1.8530895035372537, ""2023/2024"": 1.843226628686979}",1.843430199504071,0.0077049588796400965
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 1000, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8366901701401432, ""2020/2021"": 1.8481975132944242, ""2021/2022"": 1.847018857444195, ""2022/2023"": 1.8561033626891026, ""2023/2024"": 1.8449362290257403}",1.8465892265187211,0.006964439569190943
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 1000, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8561015033019206, ""2020/2021"": 1.8553119215152025, ""2021/2022"": 1.855988382615495, ""2022/2023"": 1.8621643718998229, ""2023/2024"": 1.8521254672998475}",1.8563383293264575,0.003637411194219553
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 1000, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.882972238062422, ""2020/2021"": 1.8638058870204732, ""2021/2022"": 1.8722663082014341, ""2022/2023"": 1.8681491141676265, ""2023/2024"": 1.8612224773037116}",1.8696832049511332,0.008540360594679088
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 1000, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.920777152096032, ""2020/2021"": 1.903326949337471, ""2021/2022"": 1.8955282855729347, ""2022/2023"": 1.8883253604106822, ""2023/2024"": 1.8840378856109108}",1.898399126605606,0.014500234465513056
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 1200, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8319474618625762, ""2020/2021"": 1.844830766134202, ""2021/2022"": 1.8459154911128117, ""2022/2023"": 1.8534471207193037, ""2023/2024"": 1.8439477673848066}",1.84401772144274,0.007727745499344833
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 1200, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8406442969062948, ""2020/2021"": 1.8493885859393737, ""2021/2022"": 1.8476540054744908, ""2022/2023"": 1.8570877685660745, ""2023/2024"": 1.8456473443182642}",1.8480844002408996,0.006005022073012484
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 1200, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.861807460368131, ""2020/2021"": 1.8573422393704782, ""2021/2022"": 1.8586657894474568, ""2022/2023"": 1.8633077104923168, ""2023/2024"": 1.854422067957892}",1.859109053527255,0.0035424592032086834
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 1200, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8917875781529039, ""2020/2021"": 1.868398893319525, ""2021/2022"": 1.8777279969154757, ""2022/2023"": 1.8701242992227372, ""2023/2024"": 1.8668312201504798}",1.8749739975522242,0.010287582301986576
